index,source,target,weight
5425,Government of Spain,University of Chicago,21
5426,United States National Aeronautics & Space Administration (NASA),University of Chicago,42
5427,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),University of Chicago,21
5428,David and Lucile Packard Foundation,University of Chicago,54
5429,Texas AM Universitiy,University of Chicago,20
5430,Comision Nacional de Investigacion Cientifica y Tecnologica (CONICYT),University of Chicago,2
5431,Stanford University,University of Chicago,22
5432,European Commission,University of Chicago,23
5433,UK Research and Innovation (UKRI),University of Chicago,33
5434,European Research Council,University of Chicago,11
5435,United States Department of Energy (DOE),University of Chicago,54
5436,University of Chicago,University of Portsmouth,35
5437,Gordon and Betty Moore Foundation,University of Chicago,15
5438,University of Cambridge,University of Chicago,35
5439,German Research Foundation (DFG),Ohio State University,16
5440,German Research Foundation (DFG),Simons Foundation,9
5441,German Research Foundation (DFG),Higher Education Funding Council for England,21
5442,German Research Foundation (DFG),Government of Spain,22
5443,David and Lucile Packard Foundation,German Research Foundation (DFG),73
5444,German Research Foundation (DFG),Texas AM Universitiy,15
5445,Comision Nacional de Investigacion Cientifica y Tecnologica (CONICYT),German Research Foundation (DFG),3
5446,German Research Foundation (DFG),United States Department of Energy (DOE),32
5447,German Research Foundation (DFG),University of Portsmouth,16
5448,German Research Foundation (DFG),Gordon and Betty Moore Foundation,15
5449,German Research Foundation (DFG),University of Cambridge,16
5450,Ohio State University,University of Michigan,20
5451,Simons Foundation,University of Michigan,8
5452,Higher Education Funding Council for England,University of Michigan,16
5453,United States National Aeronautics & Space Administration (NASA),University of Michigan,20
5454,David and Lucile Packard Foundation,University of Michigan,32
5455,Texas AM Universitiy,University of Michigan,19
5456,Comision Nacional de Investigacion Cientifica y Tecnologica (CONICYT),University of Michigan,1
5457,United States Department of Energy (DOE),University of Michigan,17
5458,University of Michigan,University of Portsmouth,20
5459,Gordon and Betty Moore Foundation,University of Michigan,9
5460,University of Cambridge,University of Michigan,21
5461,Ohio State University,Simons Foundation,10
5462,Higher Education Funding Council for England,Ohio State University,29
5463,Government of Spain,Ohio State University,15
5464,Ohio State University,United States National Aeronautics & Space Administration (NASA),45
5465,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),Ohio State University,15
5466,David and Lucile Packard Foundation,Ohio State University,50
5467,Ohio State University,Texas AM Universitiy,19
5468,Comision Nacional de Investigacion Cientifica y Tecnologica (CONICYT),Ohio State University,1
5469,Ohio State University,Stanford University,21
5470,European Commission,Ohio State University,17
5471,Ohio State University,UK Research and Innovation (UKRI),25
5472,European Research Council,Ohio State University,6
5473,Ohio State University,United States Department of Energy (DOE),50
5474,Ohio State University,University of Portsmouth,54
5475,Gordon and Betty Moore Foundation,Ohio State University,10
5476,Ohio State University,University of Cambridge,42
5477,Higher Education Funding Council for England,Simons Foundation,8
5478,Government of Spain,Simons Foundation,7
5479,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),Simons Foundation,7
5480,David and Lucile Packard Foundation,Simons Foundation,313
5481,Simons Foundation,Texas AM Universitiy,8
5482,Comision Nacional de Investigacion Cientifica y Tecnologica (CONICYT),Simons Foundation,10
5483,Simons Foundation,Stanford University,12
5484,Simons Foundation,UK Research and Innovation (UKRI),30
5485,European Research Council,Simons Foundation,12
5486,Simons Foundation,University of Portsmouth,10
5487,Gordon and Betty Moore Foundation,Simons Foundation,88
5488,Simons Foundation,University of Cambridge,9
5489,Government of Spain,Higher Education Funding Council for England,21
5490,Higher Education Funding Council for England,United States National Aeronautics & Space Administration (NASA),39
5491,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),Higher Education Funding Council for England,21
5492,David and Lucile Packard Foundation,Higher Education Funding Council for England,38
5493,Higher Education Funding Council for England,Texas AM Universitiy,14
5494,Comision Nacional de Investigacion Cientifica y Tecnologica (CONICYT),Higher Education Funding Council for England,2
5495,Higher Education Funding Council for England,Stanford University,16
5496,European Commission,Higher Education Funding Council for England,23
5497,Higher Education Funding Council for England,UK Research and Innovation (UKRI),27
5498,European Research Council,Higher Education Funding Council for England,8
5499,Higher Education Funding Council for England,United States Department of Energy (DOE),44
5500,Higher Education Funding Council for England,University of Portsmouth,28
5501,Gordon and Betty Moore Foundation,Higher Education Funding Council for England,9
5502,Higher Education Funding Council for England,University of Cambridge,29
5503,Government of Spain,United States National Aeronautics & Space Administration (NASA),43
5504,David and Lucile Packard Foundation,Government of Spain,49
5505,Government of Spain,Texas AM Universitiy,14
5506,Comision Nacional de Investigacion Cientifica y Tecnologica (CONICYT),Government of Spain,2
5507,Government of Spain,Stanford University,16
5508,Government of Spain,United States Department of Energy (DOE),22
5509,Government of Spain,University of Portsmouth,15
5510,Gordon and Betty Moore Foundation,Government of Spain,8
5511,Government of Spain,University of Cambridge,16
5512,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),United States National Aeronautics & Space Administration (NASA),24
5513,Texas AM Universitiy,United States National Aeronautics & Space Administration (NASA),17
5514,Comision Nacional de Investigacion Cientifica y Tecnologica (CONICYT),United States National Aeronautics & Space Administration (NASA),26
5515,Stanford University,United States National Aeronautics & Space Administration (NASA),22
5516,UK Research and Innovation (UKRI),United States National Aeronautics & Space Administration (NASA),176
5517,European Research Council,United States National Aeronautics & Space Administration (NASA),31
5518,United States National Aeronautics & Space Administration (NASA),University of Portsmouth,42
5519,Gordon and Betty Moore Foundation,United States National Aeronautics & Space Administration (NASA),102
5520,United States National Aeronautics & Space Administration (NASA),University of Cambridge,34
5521,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),Texas AM Universitiy,14
5522,Comision Nacional de Investigacion Cientifica y Tecnologica (CONICYT),Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),4
5523,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),Stanford University,16
5524,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),European Research Council,8
5525,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),United States Department of Energy (DOE),22
5526,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),University of Portsmouth,15
5527,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),University of Cambridge,16
5528,David and Lucile Packard Foundation,Texas AM Universitiy,17
5529,Comision Nacional de Investigacion Cientifica y Tecnologica (CONICYT),David and Lucile Packard Foundation,33
5530,David and Lucile Packard Foundation,UK Research and Innovation (UKRI),355
5531,David and Lucile Packard Foundation,European Research Council,113
5532,David and Lucile Packard Foundation,United States Department of Energy (DOE),525
5533,David and Lucile Packard Foundation,University of Portsmouth,47
5534,David and Lucile Packard Foundation,University of Cambridge,37
5535,Comision Nacional de Investigacion Cientifica y Tecnologica (CONICYT),Texas AM Universitiy,2
5536,Stanford University,Texas AM Universitiy,20
5537,European Commission,Texas AM Universitiy,16
5538,Texas AM Universitiy,UK Research and Innovation (UKRI),21
5539,European Research Council,Texas AM Universitiy,7
5540,Texas AM Universitiy,United States Department of Energy (DOE),15
5541,Texas AM Universitiy,University of Portsmouth,19
5542,Gordon and Betty Moore Foundation,Texas AM Universitiy,8
5543,Texas AM Universitiy,University of Cambridge,20
5544,Comision Nacional de Investigacion Cientifica y Tecnologica (CONICYT),Stanford University,1
5545,Comision Nacional de Investigacion Cientifica y Tecnologica (CONICYT),European Commission,9
5546,Comision Nacional de Investigacion Cientifica y Tecnologica (CONICYT),UK Research and Innovation (UKRI),12
5547,Comision Nacional de Investigacion Cientifica y Tecnologica (CONICYT),European Research Council,3
5548,Comision Nacional de Investigacion Cientifica y Tecnologica (CONICYT),United States Department of Energy (DOE),5
5549,Comision Nacional de Investigacion Cientifica y Tecnologica (CONICYT),University of Portsmouth,1
5550,Comision Nacional de Investigacion Cientifica y Tecnologica (CONICYT),Gordon and Betty Moore Foundation,11
5551,Comision Nacional de Investigacion Cientifica y Tecnologica (CONICYT),University of Cambridge,1
5552,European Research Council,Stanford University,11
5553,Stanford University,United States Department of Energy (DOE),25
5554,Stanford University,University of Portsmouth,21
5555,Gordon and Betty Moore Foundation,Stanford University,28
5556,Stanford University,University of Cambridge,22
5557,European Commission,United States Department of Energy (DOE),85
5558,European Commission,University of Portsmouth,17
5559,European Commission,Gordon and Betty Moore Foundation,51
5560,European Commission,University of Cambridge,25
5561,UK Research and Innovation (UKRI),University of Portsmouth,25
5562,Gordon and Betty Moore Foundation,UK Research and Innovation (UKRI),50
5563,UK Research and Innovation (UKRI),University of Cambridge,31
5564,European Research Council,United States Department of Energy (DOE),23
5565,European Research Council,University of Portsmouth,7
5566,European Research Council,Gordon and Betty Moore Foundation,16
5567,European Research Council,University of Cambridge,6
5568,United States Department of Energy (DOE),University of Portsmouth,50
5569,Gordon and Betty Moore Foundation,United States Department of Energy (DOE),52
5570,United States Department of Energy (DOE),University of Cambridge,37
5571,Gordon and Betty Moore Foundation,University of Portsmouth,10
5572,University of Cambridge,University of Portsmouth,41
5573,Gordon and Betty Moore Foundation,University of Cambridge,10
5574,Natural Sciences and Engineering Research Council of Canada (NSERC),United States National Aeronautics & Space Administration (NASA),56
5575,David and Lucile Packard Foundation,Natural Sciences and Engineering Research Council of Canada (NSERC),154
5576,Danish National Research Foundation,Kavli Foundation,13
5577,Danish National Research Foundation,David and Lucile Packard Foundation,53
5578,Kavli Foundation,United States National Science Foundation (NSF),28
5579,David and Lucile Packard Foundation,Kavli Foundation,35
5580,Kavli Foundation,Simons Foundation,17
5581,David and Lucile Packard Foundation,Walton Family Foundation,91
5582,Marisla Foundation,Walton Family Foundation,10
5583,David and Lucile Packard Foundation,Marisla Foundation,47
5584,United States National Aeronautics & Space Administration (NASA),W.M. Keck Foundation,68
5585,Gordon and Betty Moore Foundation,W.M. Keck Foundation,119
5586,David and Lucile Packard Foundation,W.M. Keck Foundation,291
5587,David and Lucile Packard Foundation,United States Department of Defense (DOD),347
5588,Camille & Henry Dreyfus Foundation,United States Department of Defense (DOD),8
5589,Camille & Henry Dreyfus Foundation,David and Lucile Packard Foundation,94
5590,David and Lucile Packard Foundation,United States Army Research Office,190
5591,Camille & Henry Dreyfus Foundation,United States Army Research Office,16
5592,Bill and Melinda Gates Foundation,Oak Foundation,16
5593,David and Lucile Packard Foundation,Oak Foundation,44
5594,Oak Foundation,World Health Organization,9
5595,Oak Foundation,United States Agency for International Development (USAID),11
5596,Ford Foundation,Johnson & Johnson,2
5597,European Commission,Walton Family Foundation,14
5598,Gordon and Betty Moore Foundation,Walton Family Foundation,26
5599,Schmidt Fund for Innovative Research,United States Department of Energy (DOE),66
5600,Schmidt Fund for Innovative Research,United States National Science Foundation (NSF),54
5601,Schmidt Fund for Innovative Research,United States Office of Naval Research,21
5602,Gordon and Betty Moore Foundation,Schmidt Fund for Innovative Research,7
5603,David and Lucile Packard Foundation,Schmidt Fund for Innovative Research,69
5604,United States Department of Energy (DOE),United States Office of Naval Research,40
5605,Gordon and Betty Moore Foundation,United States Office of Naval Research,59
5606,David and Lucile Packard Foundation,United States Office of Naval Research,237
5607,United States Department of Defense (DOD),University of Colorado,1
5608,United States Army Research Office,University of Colorado,4
5609,United States Army Research Office,United States Centers for Disease Control and Prevention (CDC),1
5610,United States Army Research Office,United States Department of Health and Human Services (HHS),1
5611,United States Department of Defense (DOD),United States Department of Energy (DOE),44
5612,ARL-CDQI,United States Department of Defense (DOD),35
5613,ARO MURIMURI,United States Department of Defense (DOD),41
5614,ARO,United States Department of Defense (DOD),70
5615,ARL-CDQI,United States Department of Energy (DOE),15
5616,ARO MURIMURI,United States Department of Energy (DOE),29
5617,ARO,United States Department of Energy (DOE),23
5618,ARL-CDQI,United States National Science Foundation (NSF),36
5619,ARO MURIMURI,United States National Science Foundation (NSF),65
5620,ARL-CDQI,David and Lucile Packard Foundation,40
5621,ARL-CDQI,ARO MURIMURI,29
5622,ARL-CDQI,ARO,37
5623,ARO MURIMURI,David and Lucile Packard Foundation,67
5624,ARO,David and Lucile Packard Foundation,115
5625,ARO,ARO MURIMURI,36
5626,David and Lucile Packard Foundation,National Natural Science Foundation of China (NSFC),125
5627,David and Lucile Packard Foundation,Research Council of Norway,7
5628,Research Council of Norway,Simons Foundation,1
5629,ARO,United States Army Research Office,5
5630,,CGIAR,41
5631,CGIAR,David and Lucile Packard Foundation,67
5632,Alfred P. Sloan Foundation,Camille & Henry Dreyfus Foundation,44
5633,United States Army Research Office,Wellcome Trust,19
5634,Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES),United States National Science Foundation (NSF),12
5635,Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES),David and Lucile Packard Foundation,19
5636,Alfred P. Sloan Foundation,United States Department of Defense (DOD),104
5637,Alfred P. Sloan Foundation,Gordon and Betty Moore Foundation,101
5638,ARO,Gordon and Betty Moore Foundation,6
5639,ARO,Alfred P. Sloan Foundation,45
5640,,Consejo Nacional de Ciencia y Tecnologia (CONACyT),4
5641,,United States National Aeronautics & Space Administration (NASA),62
5642,,W.M. Keck Foundation,33
5643,,Chinese Academy of Sciences,7
5644,,Northwestern University,3
5645,,Gordon and Betty Moore Foundation,36
5646,Chinese Academy of Sciences,United States National Science Foundation (NSF),27
5647,Northwestern University,United States National Science Foundation (NSF),24
5648,Chinese Academy of Sciences,Simons Foundation,5
5649,Northwestern University,Simons Foundation,9
5650,Chinese Academy of Sciences,United States National Aeronautics & Space Administration (NASA),9
5651,Northwestern University,United States National Aeronautics & Space Administration (NASA),10
5652,Chinese Academy of Sciences,W.M. Keck Foundation,4
5653,UK Research and Innovation (UKRI),W.M. Keck Foundation,45
5654,Northwestern University,W.M. Keck Foundation,5
5655,Chinese Academy of Sciences,David and Lucile Packard Foundation,20
5656,David and Lucile Packard Foundation,Northwestern University,17
5657,Chinese Academy of Sciences,UK Research and Innovation (UKRI),7
5658,Chinese Academy of Sciences,Northwestern University,1
5659,Chinese Academy of Sciences,Gordon and Betty Moore Foundation,4
5660,Northwestern University,UK Research and Innovation (UKRI),2
5661,Gordon and Betty Moore Foundation,Northwestern University,6
5662,,German Research Foundation (DFG),12
5663,,Higher Education Funding Council for England,5
5664,,Government of Spain,5
5665,,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),9
5666,,Comision Nacional de Investigacion Cientifica y Tecnologica (CONICYT),5
5667,,South African National Research Foundation,7
5668,,Danish National Research Foundation,10
5669,Chinese Academy of Sciences,University of Chicago,3
5670,South African National Research Foundation,University of Chicago,1
5671,Danish National Research Foundation,University of Chicago,5
5672,Chinese Academy of Sciences,German Research Foundation (DFG),4
5673,Danish National Research Foundation,German Research Foundation (DFG),4
5674,Simons Foundation,South African National Research Foundation,4
5675,Chinese Academy of Sciences,Higher Education Funding Council for England,2
5676,Higher Education Funding Council for England,South African National Research Foundation,1
5677,Danish National Research Foundation,Higher Education Funding Council for England,1
5678,Chinese Academy of Sciences,Government of Spain,2
5679,Government of Spain,South African National Research Foundation,1
5680,South African National Research Foundation,United States National Aeronautics & Space Administration (NASA),9
5681,Chinese Academy of Sciences,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),2
5682,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),South African National Research Foundation,3
5683,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),Danish National Research Foundation,3
5684,David and Lucile Packard Foundation,South African National Research Foundation,12
5685,Chinese Academy of Sciences,Comision Nacional de Investigacion Cientifica y Tecnologica (CONICYT),3
5686,Chinese Academy of Sciences,South African National Research Foundation,2
5687,Chinese Academy of Sciences,Danish National Research Foundation,2
5688,Chinese Academy of Sciences,United States Department of Energy (DOE),4
5689,Comision Nacional de Investigacion Cientifica y Tecnologica (CONICYT),South African National Research Foundation,4
5690,Comision Nacional de Investigacion Cientifica y Tecnologica (CONICYT),Danish National Research Foundation,9
5691,Danish National Research Foundation,UK Research and Innovation (UKRI),20
5692,Danish National Research Foundation,South African National Research Foundation,3
5693,South African National Research Foundation,United States Department of Energy (DOE),3
5694,Gordon and Betty Moore Foundation,South African National Research Foundation,7
5695,Danish National Research Foundation,Gordon and Betty Moore Foundation,13
5696,Stanford University,Thrasher Research Fund,8
5697,Thrasher Research Fund,United States National Institutes of Health (NIH),51
5698,Alfred P. Sloan Foundation,University of Colorado,6
5699,David and Lucile Packard Foundation,University of Colorado,18
5700,University of Colorado,University of Washington,6
5701,United States National Science Foundation (NSF),University of Washington,53
5702,Alfred P. Sloan Foundation,University of Washington,38
5703,David and Lucile Packard Foundation,University of Washington,48
5704,Marisla Foundation,Oak Foundation,20
5705,National Key Research and Development Program of China,United States Department of Energy (DOE),5
5706,National Key Research and Development Program of China,United States National Science Foundation (NSF),16
5707,David and Lucile Packard Foundation,National Key Research and Development Program of China,14
5708,ARO,National Key Research and Development Program of China,4
5709,Bill and Melinda Gates Foundation,Camille & Henry Dreyfus Foundation,10
5710,Camille & Henry Dreyfus Foundation,United States National Science Foundation (NSF),70
5711,Marisla Foundation,National Natural Science Foundation of China (NSFC),1
5712,David and Lucile Packard Foundation,Swiss National Science Foundation,72
5713,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),Schmidt Fund for Innovative Research,1
5714,Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES),Schmidt Fund for Innovative Research,1
5715,Schmidt Fund for Innovative Research,UK Research and Innovation (UKRI),3
5716,National Natural Science Foundation of China (NSFC),Schmidt Fund for Innovative Research,14
5717,ARO MURIMURI,Schmidt Fund for Innovative Research,14
5718,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES),42
5719,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),National Natural Science Foundation of China (NSFC),4
5720,ARO MURIMURI,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),1
5721,Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES),UK Research and Innovation (UKRI),2
5722,Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES),National Natural Science Foundation of China (NSFC),1
5723,Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES),United States Department of Energy (DOE),2
5724,ARO MURIMURI,Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES),1
5725,National Natural Science Foundation of China (NSFC),UK Research and Innovation (UKRI),28
5726,ARO MURIMURI,UK Research and Innovation (UKRI),4
5727,National Natural Science Foundation of China (NSFC),United States Department of Energy (DOE),28
5728,ARO MURIMURI,National Natural Science Foundation of China (NSFC),8
5729,Natural Environment Research Council (NERC),United States National Science Foundation (NSF),22
5730,German Research Foundation (DFG),Natural Environment Research Council (NERC),4
5731,David and Lucile Packard Foundation,Natural Environment Research Council (NERC),35
5732,Natural Environment Research Council (NERC),UK Research and Innovation (UKRI),71
5733,National Geographic Society,United States Department of Defense (DOD),1
5734,American Philosophical Society,United States Department of Defense (DOD),1
5735,National Geographic Society,Stanford University,1
5736,American Philosophical Society,National Geographic Society,4
5737,David and Lucile Packard Foundation,National Geographic Society,56
5738,American Philosophical Society,David and Lucile Packard Foundation,6
5739,Natural Environment Research Council (NERC),United States Office of Naval Research,1
5740,Alfred P. Sloan Foundation,Natural Environment Research Council (NERC),1
5741,Gordon and Betty Moore Foundation,Natural Environment Research Council (NERC),12
5742,Alfred P. Sloan Foundation,W.M. Keck Foundation,34
5743,David and Lucile Packard Foundation,Howard Hughes Medical Institute,143
5744,Camille & Henry Dreyfus Foundation,Howard Hughes Medical Institute,13
5745,United States Department of Defense (DOD),United States Office of Naval Research,45
5746,German Research Foundation,United States Department of Defense (DOD),6
5747,European Commission,United States Department of Defense (DOD),42
5748,German Research Foundation,United States Office of Naval Research,2
5749,ARO MURIMURI,United States Office of Naval Research,5
5750,German Research Foundation,United States National Science Foundation (NSF),48
5751,Alfred P. Sloan Foundation,German Research Foundation,9
5752,David and Lucile Packard Foundation,German Research Foundation,63
5753,ARO MURIMURI,German Research Foundation,2
5754,ARO,German Research Foundation,1
5755,ARO MURIMURI,European Commission,14
5756,ARO,European Commission,10
5757,ARO MURIMURI,Alfred P. Sloan Foundation,21
5758,Nature Conservancy,Walton Family Foundation,5
5759,Microsoft,United States Department of Defense (DOD),23
5760,Alexander von Humboldt Foundation,United States National Science Foundation (NSF),30
5761,Kavli Foundation,United States National Aeronautics & Space Administration (NASA),22
5762,European Commission,John Templeton Foundation,10
5763,John Templeton Foundation,United States National Aeronautics & Space Administration (NASA),29
5764,Gordon and Betty Moore Foundation,John Templeton Foundation,1
5765,David and Lucile Packard Foundation,John Templeton Foundation,41
5766,Comision Nacional de Investigacion Cientifica y Tecnologica (CONICYT),John Templeton Foundation,5
5767,John Templeton Foundation,UK Research and Innovation (UKRI),5
5768,Camille & Henry Dreyfus Foundation,National Natural Science Foundation of China (NSFC),1
5769,Schmidt Fund for Innovative Research,Simons Foundation,34
5770,United States National Oceanic and Atmospheric Administration (NOAA),United States National Science Foundation (NSF),53
5771,United States National Aeronautics & Space Administration (NASA),United States National Oceanic and Atmospheric Administration (NOAA),12
5772,David and Lucile Packard Foundation,United States National Oceanic and Atmospheric Administration (NOAA),68
5773,MacArthur Foundation,Stanford University,3
5774,Government of Japan,United States National Aeronautics & Space Administration (NASA),104
5775,Cornell University,United States National Science Foundation (NSF),31
5776,Cornell University,David and Lucile Packard Foundation,19
5777,Andrew W. Mellon Foundation,David and Lucile Packard Foundation,172
5778,Pew Charitable Trusts,United States National Science Foundation (NSF),21
5779,American Heart Association,David and Lucile Packard Foundation,29
5780,American Heart Association,Pew Charitable Trusts,4
5781,David and Lucile Packard Foundation,Pew Charitable Trusts,49
5782,Avatar Alliance Foundation,MacArthur Foundation,97
5783,Andrew W. Mellon Foundation,Avatar Alliance Foundation,101
5784,Avatar Alliance Foundation,Gordon and Betty Moore Foundation,101
5785,Avatar Alliance Foundation,W.M. Keck Foundation,92
5786,Avatar Alliance Foundation,David and Lucile Packard Foundation,100
5787,Avatar Alliance Foundation,Margaret A. Cargill Foundation,96
5788,Avatar Alliance Foundation,Grantham Foundation for the Protection of the Environment,94
5789,Gordon and Betty Moore Foundation,MacArthur Foundation,97
5790,MacArthur Foundation,W.M. Keck Foundation,87
5791,MacArthur Foundation,Margaret A. Cargill Foundation,88
5792,Grantham Foundation for the Protection of the Environment,MacArthur Foundation,80
5793,Andrew W. Mellon Foundation,Gordon and Betty Moore Foundation,155
5794,Andrew W. Mellon Foundation,W.M. Keck Foundation,100
5795,Andrew W. Mellon Foundation,Margaret A. Cargill Foundation,87
5796,Andrew W. Mellon Foundation,Grantham Foundation for the Protection of the Environment,90
5797,Gordon and Betty Moore Foundation,Margaret A. Cargill Foundation,94
5798,Gordon and Betty Moore Foundation,Grantham Foundation for the Protection of the Environment,93
5799,Margaret A. Cargill Foundation,W.M. Keck Foundation,92
5800,Grantham Foundation for the Protection of the Environment,W.M. Keck Foundation,84
5801,David and Lucile Packard Foundation,Margaret A. Cargill Foundation,89
5802,David and Lucile Packard Foundation,Grantham Foundation for the Protection of the Environment,86
5803,Grantham Foundation for the Protection of the Environment,Margaret A. Cargill Foundation,86
5804,National Key Research and Development Program of China,United States National Aeronautics & Space Administration (NASA),1
5805,National Key Research and Development Program of China,United States National Oceanic and Atmospheric Administration (NOAA),1
5806,National Key Research and Development Program of China,National Natural Science Foundation of China (NSFC),61
5807,National Natural Science Foundation of China (NSFC),United States National Aeronautics & Space Administration (NASA),18
5808,National Natural Science Foundation of China (NSFC),United States National Oceanic and Atmospheric Administration (NOAA),1
5809,MacArthur Foundation,Roundtable on Sustainable Palm Oil,16
5810,MacArthur Foundation,World Wildlife Fund,20
5811,MacArthur Foundation,United Nations Development Programme,13
5812,MacArthur Foundation,Rainforest Trust,21
5813,Margaret A. Cargill Foundation,Roundtable on Sustainable Palm Oil,16
5814,Margaret A. Cargill Foundation,World Wildlife Fund,14
5815,Margaret A. Cargill Foundation,United Nations Development Programme,12
5816,Margaret A. Cargill Foundation,Rainforest Trust,20
5817,Roundtable on Sustainable Palm Oil,World Wildlife Fund,12
5818,Andrew W. Mellon Foundation,Roundtable on Sustainable Palm Oil,16
5819,Roundtable on Sustainable Palm Oil,W.M. Keck Foundation,14
5820,David and Lucile Packard Foundation,Roundtable on Sustainable Palm Oil,16
5821,Roundtable on Sustainable Palm Oil,United Nations Development Programme,10
5822,Rainforest Trust,Roundtable on Sustainable Palm Oil,16
5823,Avatar Alliance Foundation,Roundtable on Sustainable Palm Oil,16
5824,Gordon and Betty Moore Foundation,Roundtable on Sustainable Palm Oil,16
5825,Andrew W. Mellon Foundation,World Wildlife Fund,22
5826,W.M. Keck Foundation,World Wildlife Fund,14
5827,David and Lucile Packard Foundation,World Wildlife Fund,18
5828,United Nations Development Programme,World Wildlife Fund,12
5829,Rainforest Trust,World Wildlife Fund,14
5830,Avatar Alliance Foundation,World Wildlife Fund,14
5831,Gordon and Betty Moore Foundation,World Wildlife Fund,16
5832,Andrew W. Mellon Foundation,United Nations Development Programme,12
5833,Andrew W. Mellon Foundation,Rainforest Trust,20
5834,United Nations Development Programme,W.M. Keck Foundation,12
5835,Rainforest Trust,W.M. Keck Foundation,16
5836,David and Lucile Packard Foundation,United Nations Development Programme,13
5837,David and Lucile Packard Foundation,Rainforest Trust,21
5838,Rainforest Trust,United Nations Development Programme,13
5839,Avatar Alliance Foundation,United Nations Development Programme,13
5840,Gordon and Betty Moore Foundation,United Nations Development Programme,12
5841,Avatar Alliance Foundation,Rainforest Trust,21
5842,Gordon and Betty Moore Foundation,Rainforest Trust,18
5843,Child Health Research Institute,Stanford University,40
5844,Child Health Research Institute,Thrasher Research Fund,1
5845,Child Health Research Institute,United States National Institutes of Health (NIH),54
5846,,Israel Science Foundation,3
5847,,German Research Foundation,10
5848,Alfred P. Sloan Foundation,Howard Hughes Medical Institute,11
5849,Howard Hughes Medical Institute,Israel Science Foundation,5
5850,German Research Foundation,Howard Hughes Medical Institute,2
5851,Alfred P. Sloan Foundation,Simons Foundation,75
5852,Israel Science Foundation,Simons Foundation,7
5853,German Research Foundation,Simons Foundation,4
5854,David and Lucile Packard Foundation,Israel Science Foundation,34
5855,Alfred P. Sloan Foundation,Israel Science Foundation,6
5856,Alfred P. Sloan Foundation,European Research Council,22
5857,European Commission,Israel Science Foundation,31
5858,Israel Science Foundation,Stanford University,3
5859,European Research Council,Israel Science Foundation,29
5860,German Research Foundation,Israel Science Foundation,2
5861,German Research Foundation,Stanford University,2
5862,European Research Council,German Research Foundation,5
5863,Alfred P. Sloan Foundation,Government of Japan,104
5864,David and Lucile Packard Foundation,Government of Japan,156
5865,ARO,Government of Japan,6
5866,David and Lucile Packard Foundation,Smithsonian Institution,11
5867,Gordon and Betty Moore Foundation,Smithsonian Institution,8
5868,David and Lucile Packard Foundation,UK Department for International Development,14
5869,National Geographic Society,Royal Society of London,1
5870,Missouri Botanical Garden,National Geographic Society,3
5871,European Commission,National Geographic Society,6
5872,Leverhulme Trust,National Geographic Society,1
5873,Gordon and Betty Moore Foundation,National Geographic Society,7
5874,National Geographic Society,UK Research and Innovation (UKRI),4
5875,European Research Council,National Geographic Society,3
5876,National Geographic Society,Smithsonian Institution,3
5877,National Geographic Society,Natural Environment Research Council (NERC),1
5878,Missouri Botanical Garden,Royal Society of London,3
5879,Leverhulme Trust,Royal Society of London,80
5880,Gordon and Betty Moore Foundation,Royal Society of London,9
5881,David and Lucile Packard Foundation,Royal Society of London,135
5882,European Research Council,Royal Society of London,24
5883,Royal Society of London,Smithsonian Institution,2
5884,Natural Environment Research Council (NERC),Royal Society of London,7
5885,European Commission,Missouri Botanical Garden,4
5886,Leverhulme Trust,Missouri Botanical Garden,2
