,dataset,funder_value,frequency
702,osf,Global Change and Sustainability Research Institute (GCSRI),3
703,osf,National Science Foundation Graduate FellowshipNational Science Foundation (NSF),3
704,osf,Sigrid Rausing Trust,3
705,osf,Soros grant,3
706,osf,National Institute for Drug AbuseUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Drug Abuse (NIDA),3
707,osf,NSF Graduate Research Fellowship ProgramNational Science Foundation (NSF),3
708,osf,WHOWorld Health Organization,3
709,osf,Hertz Foundation,3
710,osf,ViiV Healthcare,3
711,osf,Open Society Foundation South Africa,3
712,osf,UCLA-Caltech Medical Scientist Training Program,3
713,osf,Open Society Foundation - South Africa,3
714,osf,Engineering and Physical Sciences Research CouncilUK Research & Innovation (UKRI)Engineering & Physical Sciences Research Council (EPSRC),3
715,osf,National Institute for Health Research (NIHR)National Institute for Health Research (NIHR),3
716,osf,Poitras Center for Affective Disorders Research at MIT,3
717,osf,Hock E. Tan and K. Lisa Yang Center for Autism Research at MIT,3
718,osf,Laura and John Arnold Foundation,3
719,osf,RiverStyx Foundation,3
720,osf,Vital Projects Fund,3
721,osf,Massena Foundation,3
722,osf,City of Seattle,3
723,osf,Brot fur die Welt,3
724,osf,Wenner-Gren Foundation,3
725,osf,NATIONAL EYE INSTITUTEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Eye Institute (NEI)  Funding Source: NIH RePORTER,3
726,osf,PD Soros Fellowship,3
727,osf,Thomas and Stacey Siebel Foundation,3
728,osf,Human Frontier Science Program Career Development Award,3
729,osf,NIDAUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Drug Abuse (NIDA),3
730,osf,NIBIBUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Biomedical Imaging & Bioengineering (NIBIB),3
731,osf,Starr Foundation,3
732,osf,Robin Hood Foundation,3
733,osf,Tiger Foundation,3
734,osf,Bloomberg Philanthropies,3
735,osf,NCIUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Cancer Institute (NCI),3
736,osf,NIDDKUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Diabetes & Digestive & Kidney Diseases (NIDDK),3
737,osf,Sloan FoundationAlfred P. Sloan Foundation,3
738,osf,Elton John AIDS Foundation,3
739,osf,United States Cancer Pain Relief Committee,3
740,osf,President's Early Career Award in Science and Engineering,3
741,osf,National Research Service AwardUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,3
742,osf,Glenn Foundation for Medical Research,3
743,osf,Open Society Foundations Criminal Justice Fund,3
744,osf,Michael Smith Foundation for Health ResearchMichael Smith Foundation for Health Research,3
745,osf,Livestrong Foundation,3
746,osf,Open Society Foundation's International Palliative Care Initiative,3
747,osf,Eunice Kennedy Shriver National Institute of Child Health and Human DevelopmentUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD),3
748,osf,LIVESTRONG Foundation,3
749,osf,Boehringer IngelheimBoehringer Ingelheim,3
750,mellon,Andrew W. Mellon Foundation,1125
751,mellon,Mellon Foundation,536
752,mellon,National Science FoundationNational Science Foundation (NSF),485
753,mellon,Andrew Mellon Foundation,366
754,mellon,NSFNational Science Foundation (NSF),198
755,mellon,John D. and Catherine T. MacArthur Foundation,160
756,mellon,Smithsonian Tropical Research InstituteSmithsonian InstitutionSmithsonian Tropical Research Institute,126
757,mellon,Center for Tropical Forest ScienceSmithsonian InstitutionSmithsonian Tropical Research Institute,95
758,mellon,Gordon and Betty Moore FoundationGordon and Betty Moore Foundation,93
759,mellon,National Research Foundation,84
760,mellon,David and Lucile Packard FoundationThe David & Lucile Packard Foundation,78
761,mellon,U.S. National Science FoundationNational Science Foundation (NSF),75
762,mellon,Direct For Biological SciencesNational Science Foundation (NSF)NSF - Directorate for Biological Sciences (BIO)  Funding Source: National Science Foundation,75
763,mellon,Division Of Environmental BiologyNational Science Foundation (NSF)NSF - Directorate for Biological Sciences (BIO)  Funding Source: National Science Foundation,73
764,mellon,Avatar Alliance Foundation,60
765,mellon,A.W. Mellon Foundation,58
766,mellon,University of the Witwatersrand,57
767,mellon,Grantham Foundation for the Protection of the Environment,54
768,mellon,National Research Foundation of South AfricaNational Research Foundation - South Africa,52
769,mellon,Margaret A. Cargill Foundation,52
770,mellon,US National Science FoundationNational Science Foundation (NSF),52
771,mellon,Small World Institute Fund,51
772,mellon,Celera Foundation,51
773,mellon,National Geographic SocietyNational Geographic Society,51
774,mellon,W. M. Keck FoundationW.M. Keck Foundation,46
775,mellon,Andrew W Mellon Foundation,45
776,mellon,A. W. Mellon Foundation,44
777,mellon,South African National Research FoundationNational Research Foundation - South Africa,39
778,mellon,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH & HUMAN DEVELOPMENTUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD)  Funding Source: NIH RePORTER,37
779,mellon,National Science Foundation (NSF)National Science Foundation (NSF),36
780,mellon,American Council of Learned Societies,36
781,mellon,Natural Environment Research CouncilUK Research & Innovation (UKRI)Natural Environment Research Council (NERC)  Funding Source: researchfish,35
782,mellon,National Research Foundation (NRF),34
783,mellon,Wenner-Gren Foundation,33
784,mellon,University of Cape Town,33
785,mellon,Social Science Research Council,32
786,mellon,"Wellcome Trust, UKWellcome Trust",27
787,mellon,NATIONAL INSTITUTE ON AGINGUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Aging (NIA)  Funding Source: NIH RePORTER,26
788,mellon,National Institutes of HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,25
789,mellon,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Allergy & Infectious Diseases (NIAID)  Funding Source: NIH RePORTER,24
790,mellon,NIHUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,24
791,mellon,Sigma Xi,23
792,mellon,National Institute on AgingUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Aging (NIA),23
793,mellon,Ford Foundation,23
794,mellon,NRF,23
795,mellon,Smithsonian InstitutionSmithsonian Institution,22
796,mellon,Andrew W. Mellon foundation,22
797,mellon,Directorate For GeosciencesNational Science Foundation (NSF)NSF - Directorate for Geosciences (GEO)  Funding Source: National Science Foundation,22
798,mellon,NASANational Aeronautics & Space Administration (NASA),22
799,mellon,William and Flora Hewlett Foundation,21
800,mellon,AW Mellon Foundation,20
801,mellon,European UnionEuropean Commission,20
802,mellon,Andrew W. Mellon Foundation Endowed Fund for Innovative Research,20
803,mellon,MacArthur Foundation,20
804,mellon,National Endowment for the Humanities,19
805,mellon,Samuel H. Kress Foundation,19
806,mellon,Wellcome TrustWellcome TrustEuropean Commission,19
807,mellon,Social Sciences and Humanities Research Council of CanadaSocial Sciences and Humanities Research Council of Canada (SSHRC),18
808,mellon,Rhodes University,17
809,mellon,NATIONAL INSTITUTE ON DRUG ABUSEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Drug Abuse (NIDA)European Commission  Funding Source: NIH RePORTER,17
810,mellon,National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC),17
811,mellon,University of CaliforniaUniversity of California System,16
812,mellon,W.M. Keck FoundationW.M. Keck Foundation,16
813,mellon,South African Department of Science and Technology,16
814,mellon,Emory Center for AIDS Research,15
815,mellon,NATIONAL INSTITUTE OF MENTAL HEALTHUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Mental Health (NIMH)  Funding Source: NIH RePORTER,15
816,mellon,South African Research Chairs Initiative of the Department of Science and Technology,15
817,mellon,Natural Sciences and Engineering Research Council of CanadaNatural Sciences and Engineering Research Council of Canada (NSERC)CGIAR,15
818,mellon,Australian Research CouncilAustralian Research Council,15
819,mellon,Carnegie Institution for Science,14
820,mellon,South African Medical Research CouncilUK Research & Innovation (UKRI)Medical Research Council UK (MRC),14
821,mellon,Howard Hughes Medical InstituteHoward Hughes Medical Institute,14
822,mellon,,13
823,mellon,University of Puerto Rico,13
824,mellon,Wayne and Gladys Valley Foundation,13
825,mellon,Social Science Research Council's International Dissertation Research Fellowship,12
826,mellon,STRISmithsonian InstitutionSmithsonian Tropical Research Institute,12
827,mellon,CTFS,12
828,mellon,University of Connecticut Research Foundation,12
829,mellon,DST-NRF Centre of Excellence for Invasion BiologyDepartment of Science & Technology (India),12
830,mellon,Grainger Foundation,12
831,mellon,Palaeontological Scientific Trust,12
832,mellon,South African National Parks,11
833,mellon,Oppenheimer Memorial Trust,11
834,mellon,American Philosophical Society,11
835,mellon,Keck FoundationW.M. Keck Foundation,11
836,mellon,Tinker Foundation,11
837,mellon,Andrew Mellon foundation,11
838,mellon,Division Of Earth SciencesNational Science Foundation (NSF)NSF - Directorate for Geosciences (GEO)  Funding Source: National Science Foundation,11
839,mellon,U.S. Forest ServiceUnited States Department of Agriculture (USDA)United States Forest Service,11
840,mellon,Oppenheimer and Ackerman families,11
841,mellon,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH &HUMAN DEVELOPMENTUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD)  Funding Source: NIH RePORTER,11
842,mellon,Spencer Foundation,10
843,mellon,World Wildlife Fund,10
844,mellon,Rainforest Trust,10
845,mellon,Rockefeller Foundation,10
846,mellon,HSBC Climate Partnership,10
847,mellon,National Science Foundation Graduate Research FellowshipNational Science Foundation (NSF),9
848,mellon,US National Institute for Child Health and Human DevelopmentUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD),9
849,mellon,South African National Research Foundation (NRF)National Research Foundation - South Africa,9
850,mellon,NSF Graduate Research FellowshipNational Science Foundation (NSF),9
851,mellon,NSERCNatural Sciences and Engineering Research Council of Canada (NSERC),9
852,mellon,Division Of Ocean SciencesNational Science Foundation (NSF)NSF - Directorate for Geosciences (GEO)  Funding Source: National Science Foundation,9
853,mellon,Hewlett Foundation,9
854,mellon,U.S. Diplomatic Mission to South Africa,9
855,mellon,Nature Conservancy,8
856,mellon,US National Science Foundation (NSF)National Science Foundation (NSF),8
857,mellon,Swiss National Science FoundationSwiss National Science Foundation (SNSF)European Commission,8
858,mellon,Fulbright Commission,8
859,mellon,Roundtable on Sustainable Palm Oil,8
860,mellon,"Grants-in-Aid for Scientific ResearchMinistry of Education, Culture, Sports, Science and Technology, Japan (MEXT)Japan Society for the Promotion of ScienceGrants-in-Aid for Scientific Research (KAKENHI)  Funding Source: KAKEN",8
861,mellon,NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Center for Advancing Translational Sciences (NCATS)  Funding Source: NIH RePORTER,8
862,mellon,Claude Leon Foundation,8
863,mellon,Duke University,8
864,mellon,William Hearst III,8
865,mellon,Cornell University,8
866,mellon,ONROffice of Naval Research,8
867,mellon,NATIONAL CENTER FOR RESEARCH RESOURCESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Center for Research Resources (NCRR)  Funding Source: NIH RePORTER,8
868,mellon,NOAANational Oceanic Atmospheric Admin (NOAA) - USA,8
869,mellon,National Research Foundation (NRF) of South AfricaNational Research Foundation - South Africa,8
870,mellon,French Embassy of South Africa,8
871,mellon,Texas AM University,8
872,mellon,Swedish Research CouncilSwedish Research CouncilEuropean Commission,8
873,mellon,Stellenbosch University,7
874,mellon,CONACYTConsejo Nacional de Ciencia y Tecnologia (CONACyT),7
875,mellon,Missouri Botanical Garden,7
876,mellon,Villum Fonden  Funding Source: researchfish,7
877,mellon,University of Aarhus of Denmark,7
878,mellon,International Institute for Nanotechnology (IIN),7
879,mellon,FONDECYTComision Nacional de Investigacion Cientifica y Tecnologica (CONICYT)CONICYT FONDECYT,7
880,mellon,Fulbright Foundation,7
881,mellon,National Institute on Aging (NIA) of the NIH,7
882,mellon,University of MinnesotaUniversity of Minnesota System,7
883,mellon,National Research Foundation (South Africa)National Research Foundation - South Africa,7
884,mellon,"Anglo-American Chairman's Fund, South Africa",7
885,mellon,McHugh Otolaryngology Research Fund,7
886,mellon,Mellon Foundation Social Sciences Dissertation-Year Fellowship,7
887,mellon,USDAUnited States Department of Agriculture (USDA),7
888,mellon,David and Lucille Packard FoundationThe David & Lucile Packard Foundation,7
889,mellon,FondecytComision Nacional de Investigacion Cientifica y Tecnologica (CONICYT)CONICYT FONDECYT,7
890,mellon,Carnegie Foundation,7
891,mellon,ERCEuropean Research Council (ERC)European Commission,7
892,mellon,Arnold Arboretum of Harvard University,7
893,mellon,State of California,7
894,mellon,Medical Research CouncilUK Research & Innovation (UKRI)Medical Research Council UK (MRC)European Commission  Funding Source: researchfish,7
895,mellon,"New Zealand Foundation for Research, Science and TechnologyNew Zealand Foundation for Research, Science and Technology",7
896,mellon,National Parks Ecological Research Fellowship Program,7
897,mellon,"Andrew W. Mellon Foundation, USA",7
898,mellon,National Center for Ecological Analysis and Synthesis,7
899,mellon,National Park Foundation,7
900,mellon,Wesleyan University,6
901,mellon,Russell Sage Foundation,6
902,mellon,NASA Terrestrial Ecology ProgramNational Aeronautics & Space Administration (NASA),6
903,mellon,UN Development Programme,6
904,mellon,government of Ecuador,6
905,mellon,Department of Science and Technology (DST)Department of Science & Technology (India),6
906,mellon,Fulbright Program,6
907,mellon,"State of Illinois, through the IIN",6
908,mellon,Partner University Fund,6
909,mellon,Mellon Foundation/American Council of Learned Societies,6
910,mellon,"National Research Foundation, South AfricaNational Research Foundation - South Africa",6
911,mellon,University of ChicagoUniversity of Chicago,6
912,mellon,USDA Forest ServiceUnited States Department of Agriculture (USDA)United States Forest Service,6
913,mellon,Inter-American Foundation,6
914,mellon,Morgan Family Foundation,6
915,mellon,CNPqConselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),6
916,mellon,Blue Moon Fund,6
917,mellon,Wenner-Gren Foundation for Anthropological Research,6
918,mellon,"Utah Agricultural Experiment Station, Utah State University",6
919,mellon,RK Mellon Foundation,6
920,mellon,National Institute on Drug AbuseUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Drug Abuse (NIDA)European Commission,6
921,mellon,University of MichiganUniversity of Michigan System,6
922,mellon,Medical Research CouncilUK Research & Innovation (UKRI)Medical Research Council UK (MRC)European Commission,6
923,mellon,Stockman Family Foundation,6
924,mellon,University of Pretoria,6
925,mellon,Volkswagen FoundationVolkswagen,6
926,mellon,A. H. Schultz Foundation,6
927,mellon,Northwestern University,6
928,mellon,Robert Wood Johnson FoundationRobert Wood Johnson Foundation (RWJF),6
929,mellon,US National Institutes of HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,6
930,mellon,Geological Society of America,6
931,mellon,Brazil's Ministry for Science and Technology,6
932,mellon,Summit Foundation,6
933,mellon,AIDS Foundation of Amsterdam,6
934,mellon,U.S. National Aeronautics and Space AdministrationNational Aeronautics & Space Administration (NASA),6
935,mellon,National Park Service,6
936,mellon,U.S. Department of AgricultureUnited States Department of Agriculture (USDA),6
937,mellon,Wenner Gren Foundation,5
938,mellon,National Institute of Mental Health of the US National Institutes of HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Mental Health (NIMH),5
939,mellon,Andrew F. Mellon Foundation,5
940,mellon,Oregon State University,5
941,mellon,Soft and Hybrid Nanotechnology Experimental (SHyNE) Resource,5
942,mellon,MRSEC program at the Materials Research Center,5
943,mellon,South African National Biodiversity Institute,5
944,mellon,NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SCIENCESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Environmental Health Sciences (NIEHS)  Funding Source: NIH RePORTER,5
945,mellon,University of Canterbury,5
946,mellon,Andrew W Mellon Foundation of New York,5
947,mellon,McCormick School of Engineering and Applied Science,5
948,mellon,Department of Materials Science and Engineering at Northwestern University,5
949,mellon,CONICETConsejo Nacional de Investigaciones Cientificas y Tecnicas (CONICET),5
950,mellon,Palaeontological Scientific Trust (PAST),5
951,mellon,Royal SocietyRoyal Society of LondonEuropean Commission,5
952,mellon,Syracuse University's Geography Department,5
953,mellon,American Institute of Indian Studies,5
954,mellon,Land Tenure Center at the University of Wisconsin-Madison,5
955,mellon,Michigan State University,5
956,mellon,National Oceanic and Atmospheric AdministrationNational Oceanic Atmospheric Admin (NOAA) - USA,5
957,mellon,Society of Systematic Biologists,5
958,mellon,Mario Einaudi Center for International Studies,5
959,mellon,Cornell Sigma Xi,5
960,mellon,European Research CouncilEuropean Research Council (ERC)European Commission,5
961,mellon,European CommissionEuropean CommissionEuropean Commission Joint Research Centre,5
962,mellon,Council on Library and Information Resources,5
963,mellon,Wellcome Trust (UK)Wellcome Trust,5
964,mellon,The Mellon Foundation,5
965,mellon,Yale Institute for Biospheric Studies,5
966,mellon,Knox College,5
967,mellon,Health Economics & HIV/AIDS Research Division (HEARD) at the University of KwaZulu-Natal,5
968,mellon,SANParks,5
969,mellon,Frank Levinson Family Foundation,5
970,mellon,Stanford UniversityStanford University,5
971,mellon,Academy of FinlandAcademy of FinlandEuropean Commission,5
972,mellon,American Association of University Women,5
973,mellon,Leakey Foundation,5
974,mellon,Department of Science and TechnologyDepartment of Science & Technology (India),5
975,mellon,Deutsche ForschungsgemeinschaftGerman Research Foundation (DFG),5
976,mellon,"University of California, Santa BarbaraUniversity of California System",5
977,mellon,Direct For Mathematical & Physical ScienNational Science Foundation (NSF)NSF - Directorate for Mathematical & Physical Sciences (MPS)  Funding Source: National Science Foundation,5
978,mellon,Deutscher Akademischer Austausch DienstDeutscher Akademischer Austausch Dienst (DAAD),5
979,mellon,Chinese Academy of SciencesChinese Academy of Sciences,5
980,mellon,Kearney Foundation of Soil Science,5
981,mellon,University of Tennessee,5
982,mellon,American Museum of Natural History,5
983,mellon,Cornell Department of Ecology and Evolutionary Biology,5
984,mellon,FOGARTY INTERNATIONAL CENTERUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Fogarty International Center (FIC)  Funding Source: NIH RePORTER,5
985,mellon,U.S. Department of EnergyUnited States Department of Energy (DOE),5
986,mellon,"Conservation, Food and Health Foundation",5
987,mellon,World Wildlife Fund-US,5
988,mellon,Shell Oil,5
989,mellon,Citibank,5
990,mellon,Champion International,5
991,mellon,Homeland Foundation,5
992,mellon,Mazda Wildlife Fund,5
993,mellon,University of Virginia,5
994,mellon,Research Council of NorwayResearch Council of Norway,5
995,mellon,James S. McDonnell Foundation,5
996,mellon,U.S. Agency for International DevelopmentUnited States Agency for International Development (USAID),5
997,mellon,Ecological Society of America,5
998,mellon,National Institute of Mental HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Mental Health (NIMH),5
999,mellon,Trapnell Fund,5
1000,gates,Bill and Melinda Gates FoundationBill & Melinda Gates Foundation,9873
1001,gates,Bill & Melinda Gates FoundationBill & Melinda Gates Foundation,5548
1002,gates,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Allergy & Infectious Diseases (NIAID)  Funding Source: NIH RePORTER,3625
1003,gates,Bill & Melinda Gates FoundationBill & Melinda Gates FoundationCGIAR,2579
1004,gates,NIHUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,1538
1005,gates,Wellcome TrustWellcome TrustEuropean Commission,1473
1006,gates,National Institutes of HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,1402
1007,gates,Medical Research CouncilUK Research & Innovation (UKRI)Medical Research Council UK (MRC)European Commission  Funding Source: researchfish,899
1008,gates,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of General Medical Sciences (NIGMS)  Funding Source: NIH RePORTER,815
1009,gates,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH & HUMAN DEVELOPMENTUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD)  Funding Source: NIH RePORTER,809
1010,gates,,611
1011,gates,National Science FoundationNational Science Foundation (NSF),466
1012,gates,Gates FoundationBill & Melinda Gates Foundation,452
1013,gates,NATIONAL CANCER INSTITUTEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Cancer Institute (NCI)  Funding Source: NIH RePORTER,425
1014,gates,FOGARTY INTERNATIONAL CENTERUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Fogarty International Center (FIC)  Funding Source: NIH RePORTER,378
1015,gates,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Heart Lung & Blood Institute (NHLBI)  Funding Source: NIH RePORTER",363
1016,gates,NATIONAL INSTITUTE OF MENTAL HEALTHUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Mental Health (NIMH)  Funding Source: NIH RePORTER,342
1017,gates,European UnionEuropean Commission,308
1018,gates,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Diabetes & Digestive & Kidney Diseases (NIDDK)  Funding Source: NIH RePORTER,308
1019,gates,National Institute of Allergy and Infectious DiseasesUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Allergy & Infectious Diseases (NIAID),305
1020,gates,"OFFICE OF THE DIRECTOR, NATIONAL INSTITUTES OF HEALTHUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA  Funding Source: NIH RePORTER",294
1021,gates,Bill and Melinda Gates Foundation (BMGF)Bill & Melinda Gates Foundation,291
1022,gates,USAIDUnited States Agency for International Development (USAID),285
1023,gates,Bill & Melinda Gates Foundation (BMGF)Bill & Melinda Gates Foundation,280
1024,gates,NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Center for Advancing Translational Sciences (NCATS)  Funding Source: NIH RePORTER,267
1025,gates,National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC),265
1026,gates,NIAIDUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Allergy & Infectious Diseases (NIAID),263
1027,gates,NATIONAL CENTER FOR RESEARCH RESOURCESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Center for Research Resources (NCRR)  Funding Source: NIH RePORTER,248
1028,gates,Medical Research CouncilUK Research & Innovation (UKRI)Medical Research Council UK (MRC)European Commission,238
1029,gates,US National Institutes of HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,234
1030,gates,National Institute for Health ResearchNational Institute for Health Research (NIHR)  Funding Source: researchfish,228
1031,gates,National Institutes of Health (NIH)United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,226
1032,gates,UK Department for International Development,224
1033,gates,UK Medical Research CouncilUK Research & Innovation (UKRI)Medical Research Council UK (MRC),222
1034,gates,Howard Hughes Medical InstituteHoward Hughes Medical Institute,197
1035,gates,NSFNational Science Foundation (NSF),197
1036,gates,World BankThe World Bank India,186
1037,gates,Canadian Institutes of Health ResearchCanadian Institutes of Health Research (CIHR),177
1038,gates,"Fogarty International Center, National Institutes of HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Fogarty International Center (FIC)",176
1039,gates,United States Agency for International DevelopmentUnited States Agency for International Development (USAID),175
1040,gates,UK Department for International Development (DFID),175
1041,gates,World Health OrganizationWorld Health Organization,171
1042,gates,Bill & Melinda Gates Foundation,167
1043,gates,United States Agency for International Development (USAID)United States Agency for International Development (USAID)CGIAR,164
1044,gates,United States Agency for International Development (USAID)United States Agency for International Development (USAID),161
1045,gates,European CommissionEuropean CommissionEuropean Commission Joint Research Centre,159
1046,gates,European Research CouncilEuropean Research Council (ERC)European Commission,156
1047,gates,Eunice Kennedy Shriver National Institute of Child Health and Human DevelopmentUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD),153
1048,gates,Rockefeller Foundation,152
1049,gates,Bill & Melinda Gates FoundationCGIAR,152
1050,gates,Biotechnology and Biological Sciences Research CouncilUK Research & Innovation (UKRI)Biotechnology and Biological Sciences Research Council (BBSRC)  Funding Source: researchfish,151
1051,gates,NIH/NIAIDUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Allergy & Infectious Diseases (NIAID),149
1052,gates,WHOWorld Health Organization,147
1053,gates,UK Medical Research Council (MRC)UK Research & Innovation (UKRI)Medical Research Council UK (MRC),143
1054,gates,South African Medical Research CouncilUK Research & Innovation (UKRI)Medical Research Council UK (MRC),142
1055,gates,Bill & Melinda Gates Foundation � Grand Challenges Explorations Initiative  Funding Source: researchfish,137
1056,gates,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERINGUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Biomedical Imaging & Bioengineering (NIBIB)  Funding Source: NIH RePORTER,136
1057,gates,Irish AidCGIAR,134
1058,gates,Bill and Melinda Gates foundationBill & Melinda Gates Foundation,134
1059,gates,National Institute of Allergy and Infectious Diseases (NIAID)United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Allergy & Infectious Diseases (NIAID),132
1060,gates,"Bill & Melinda Gates Foundation, Seattle, WABill & Melinda Gates Foundation",131
1061,gates,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH &HUMAN DEVELOPMENTUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD)  Funding Source: NIH RePORTER,127
1062,gates,Wellcome Trust of Great BritainWellcome Trust,122
1063,gates,NATIONAL INSTITUTE ON AGINGUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Aging (NIA)  Funding Source: NIH RePORTER,120
1064,gates,US Agency for International DevelopmentUnited States Agency for International Development (USAID),119
1065,gates,MRCUK Research & Innovation (UKRI)Medical Research Council UK (MRC),117
1066,gates,NATIONAL INSTITUTE ON DRUG ABUSEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Drug Abuse (NIDA)European Commission  Funding Source: NIH RePORTER,117
1067,gates,BMGF,113
1068,gates,Department for International Development,113
1069,gates,NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SCIENCESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Environmental Health Sciences (NIEHS)  Funding Source: NIH RePORTER,113
1070,gates,Grand Challenges CanadaCGIAR,113
1071,gates,PfizerPfizer,111
1072,gates,GlaxoSmithKlineGlaxoSmithKline,108
1073,gates,"Grants-in-Aid for Scientific ResearchMinistry of Education, Culture, Sports, Science and Technology, Japan (MEXT)Japan Society for the Promotion of ScienceGrants-in-Aid for Scientific Research (KAKENHI)  Funding Source: KAKEN",108
1074,gates,Ministry of Foreign Affairs of the Netherlands,107
1075,gates,National Institute of Mental HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Mental Health (NIMH),106
